"filename", "language", "C++", "Dart", "HTML", "JSON", "Markdown", "YAML", "Swift", "XML", "Properties", "Groovy", "comment", "blank", "total"
"g:\proyectos\Flutter app\dddd\fly_cliente\test\widget_test.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"g:\proyectos\Flutter app\dddd\fly_cliente\web\index.html", "HTML", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 16, 6, 59
"g:\proyectos\Flutter app\dddd\fly_cliente\web\manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"g:\proyectos\Flutter app\dddd\fly_cliente\windows\flutter\generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"g:\proyectos\Flutter app\dddd\fly_cliente\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"g:\proyectos\Flutter app\dddd\fly_cliente\windows\runner\flutter_window.cpp", "C++", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 62
"g:\proyectos\Flutter app\dddd\fly_cliente\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"g:\proyectos\Flutter app\dddd\fly_cliente\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"g:\proyectos\Flutter app\dddd\fly_cliente\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"g:\proyectos\Flutter app\dddd\fly_cliente\windows\runner\utils.cpp", "C++", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"g:\proyectos\Flutter app\dddd\fly_cliente\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"g:\proyectos\Flutter app\dddd\fly_cliente\windows\runner\win32_window.cpp", "C++", 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 48, 246
"g:\proyectos\Flutter app\dddd\fly_cliente\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 499, 2657, 37, 248, 13, 31, 38, 467, 8, 89, 325, 545, 4957
